2025-09-07 10:11:07.196 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=52s inplay=False runners=8
2025-09-07 10:11:07.196 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:11:07.196 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=292s inplay=False runners=6
2025-09-07 10:11:07.196 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:11:07.196 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=472s inplay=False runners=8
2025-09-07 10:11:07.196 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:11:08.757 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=531s inplay=False runners=8
2025-09-07 10:11:08.757 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=51s inplay=False runners=8
2025-09-07 10:11:08.758 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:11:08.758 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=291s inplay=False runners=6
2025-09-07 10:11:08.758 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:11:08.758 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=471s inplay=False runners=8
2025-09-07 10:11:08.758 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:11:10.327 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=529s inplay=False runners=8
2025-09-07 10:11:10.327 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=49s inplay=False runners=8
2025-09-07 10:11:10.327 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:11:10.328 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=289s inplay=False runners=6
2025-09-07 10:11:10.328 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:11:10.328 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=469s inplay=False runners=8
2025-09-07 10:11:10.328 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:11:11.889 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=528s inplay=False runners=8
2025-09-07 10:11:11.889 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=48s inplay=False runners=8
2025-09-07 10:11:11.889 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:11:11.889 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=288s inplay=False runners=6
2025-09-07 10:11:11.890 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:11:11.890 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=468s inplay=False runners=8
2025-09-07 10:11:11.890 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:11:13.468 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=526s inplay=False runners=8
2025-09-07 10:11:13.468 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=46s inplay=False runners=8
2025-09-07 10:11:13.469 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:11:13.469 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=286s inplay=False runners=6
2025-09-07 10:11:13.469 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:11:13.470 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=466s inplay=False runners=8
2025-09-07 10:11:13.470 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:11:15.030 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=524s inplay=False runners=8
2025-09-07 10:11:15.030 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=44s inplay=False runners=8
2025-09-07 10:11:15.030 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
